scale,arm,horizon,model,seed,profit_accuracy,n_transactions,n_test_rows,transaction_rate,accuracy_3class,threshold_scope,threshold_tau,threshold_upper_bound,iter_selection_block,hybrid_selection_block,iters_self,iters_me,iters_ti,min_conf,tie_break
primary,A3,3,TI_LSTM,43,0.4711111111111111,225,243,0.9259259259259259,0.3004115226337449,train_only,0.00421,0.017950000000000133,val,test,50,,,,
primary,A3,3,ME_TI_LSTM,43,0.46502057613168724,243,243,1.0,0.26337448559670784,train_only,0.00421,0.017950000000000133,val,test,50,,,,
primary,A3,3,HYBRID,43,0.5333333333333333,135,243,0.5555555555555556,0.3497942386831276,train_only,0.00421,0.017950000000000133,val,test,,50,50,0.5,ti
primary,A4,3,ME_LSTM,43,0.46502057613168724,243,243,1.0,0.2674897119341564,full_series,0.00391,0.018209999999999837,test,test,50,,,,
primary,A4,3,TI_LSTM,43,0.4711111111111111,225,243,0.9259259259259259,0.2962962962962963,full_series,0.00391,0.018209999999999837,test,test,50,,,,
primary,A4,3,ME_TI_LSTM,43,0.46502057613168724,243,243,1.0,0.2674897119341564,full_series,0.00391,0.018209999999999837,test,test,50,,,,
primary,A4,3,HYBRID,43,0.5333333333333333,135,243,0.5555555555555556,0.345679012345679,full_series,0.00391,0.018209999999999837,test,test,,50,50,0.5,ti
primary,A0,3,ME_LSTM,44,,0,243,0.0,0.38271604938271603,train_only,0.00421,0.017950000000000133,val,val,50,,,,
primary,A0,3,TI_LSTM,44,0.5388888888888889,180,243,0.7407407407407407,0.3168724279835391,train_only,0.00421,0.017950000000000133,val,val,50,,,,
primary,A0,3,ME_TI_LSTM,44,,0,243,0.0,0.38271604938271603,train_only,0.00421,0.017950000000000133,val,val,50,,,,
primary,A0,3,HYBRID,44,,0,243,0.0,0.38271604938271603,train_only,0.00421,0.017950000000000133,val,val,,50,50,0.0,ti
primary,A1,3,ME_LSTM,44,,0,243,0.0,0.3662551440329218,full_series,0.00391,0.018209999999999837,val,val,50,,,,
primary,A1,3,TI_LSTM,44,0.5388888888888889,180,243,0.7407407407407407,0.3168724279835391,full_series,0.00391,0.018209999999999837,val,val,50,,,,
primary,A1,3,ME_TI_LSTM,44,,0,243,0.0,0.3662551440329218,full_series,0.00391,0.018209999999999837,val,val,50,,,,
primary,A1,3,HYBRID,44,,0,243,0.0,0.3662551440329218,full_series,0.00391,0.018209999999999837,val,val,,50,50,0.0,ti
primary,A2,3,ME_LSTM,44,,0,243,0.0,0.38271604938271603,train_only,0.00421,0.017950000000000133,test,val,50,,,,
primary,A2,3,TI_LSTM,44,0.5388888888888889,180,243,0.7407407407407407,0.3168724279835391,train_only,0.00421,0.017950000000000133,test,val,50,,,,
primary,A2,3,ME_TI_LSTM,44,,0,243,0.0,0.38271604938271603,train_only,0.00421,0.017950000000000133,test,val,50,,,,
primary,A2,3,HYBRID,44,,0,243,0.0,0.38271604938271603,train_only,0.00421,0.017950000000000133,test,val,,50,50,0.0,ti
primary,A3,3,ME_LSTM,44,,0,243,0.0,0.38271604938271603,train_only,0.00421,0.017950000000000133,val,test,50,,,,
primary,A3,3,TI_LSTM,44,0.5388888888888889,180,243,0.7407407407407407,0.3168724279835391,train_only,0.00421,0.017950000000000133,val,test,50,,,,
primary,A3,3,ME_TI_LSTM,44,,0,243,0.0,0.38271604938271603,train_only,0.00421,0.017950000000000133,val,test,50,,,,
primary,A3,3,HYBRID,44,,0,243,0.0,0.38271604938271603,train_only,0.00421,0.017950000000000133,val,test,,50,50,0.0,ti
primary,A4,3,ME_LSTM,44,,0,243,0.0,0.3662551440329218,full_series,0.00391,0.018209999999999837,test,test,50,,,,
primary,A4,3,TI_LSTM,44,0.5388888888888889,180,243,0.7407407407407407,0.3168724279835391,full_series,0.00391,0.018209999999999837,test,test,50,,,,
primary,A4,3,ME_TI_LSTM,44,,0,243,0.0,0.3662551440329218,full_series,0.00391,0.018209999999999837,test,test,50,,,,
primary,A4,3,HYBRID,44,,0,243,0.0,0.3662551440329218,full_series,0.00391,0.018209999999999837,test,test,,50,50,0.0,ti
primary,A0,3,ME_LSTM,45,,0,243,0.0,0.38271604938271603,train_only,0.00421,0.017950000000000133,val,val,50,,,,
primary,A0,3,TI_LSTM,45,0.4469026548672566,226,243,0.9300411522633745,0.25102880658436216,train_only,0.00421,0.017950000000000133,val,val,50,,,,
primary,A0,3,ME_TI_LSTM,45,0.41304347826086957,46,243,0.18930041152263374,0.35802469135802467,train_only,0.00421,0.017950000000000133,val,val,50,,,,
primary,A0,3,HYBRID,45,,0,243,0.0,0.38271604938271603,train_only,0.00421,0.017950000000000133,val,val,,50,50,0.0,ti
primary,A1,3,ME_LSTM,45,,0,243,0.0,0.3662551440329218,full_series,0.00391,0.018209999999999837,val,val,50,,,,
primary,A1,3,TI_LSTM,45,0.4469026548672566,226,243,0.9300411522633745,0.2551440329218107,full_series,0.00391,0.018209999999999837,val,val,50,,,,
primary,A1,3,ME_TI_LSTM,45,0.41304347826086957,46,243,0.18930041152263374,0.3497942386831276,full_series,0.00391,0.018209999999999837,val,val,50,,,,
primary,A1,3,HYBRID,45,,0,243,0.0,0.3662551440329218,full_series,0.00391,0.018209999999999837,val,val,,50,50,0.0,ti
primary,A2,3,ME_LSTM,45,,0,243,0.0,0.38271604938271603,train_only,0.00421,0.017950000000000133,test,val,50,,,,
primary,A2,3,TI_LSTM,45,0.4469026548672566,226,243,0.9300411522633745,0.25102880658436216,train_only,0.00421,0.017950000000000133,test,val,50,,,,
primary,A2,3,ME_TI_LSTM,45,0.41304347826086957,46,243,0.18930041152263374,0.35802469135802467,train_only,0.00421,0.017950000000000133,test,val,50,,,,
primary,A2,3,HYBRID,45,,0,243,0.0,0.38271604938271603,train_only,0.00421,0.017950000000000133,test,val,,50,50,0.0,ti
primary,A3,3,ME_LSTM,45,,0,243,0.0,0.38271604938271603,train_only,0.00421,0.017950000000000133,val,test,50,,,,
primary,A3,3,TI_LSTM,45,0.4469026548672566,226,243,0.9300411522633745,0.25102880658436216,train_only,0.00421,0.017950000000000133,val,test,50,,,,
primary,A3,3,ME_TI_LSTM,45,0.41304347826086957,46,243,0.18930041152263374,0.35802469135802467,train_only,0.00421,0.017950000000000133,val,test,50,,,,
primary,A3,3,HYBRID,45,,0,243,0.0,0.38271604938271603,train_only,0.00421,0.017950000000000133,val,test,,50,50,0.0,ti
primary,A4,3,ME_LSTM,45,,0,243,0.0,0.3662551440329218,full_series,0.00391,0.018209999999999837,test,test,50,,,,
