month_end,pair,country,asof,price,eur_dem_splice,for_policy_rate,for_rate_3m,for_yield_10y,for_curve_slope,for_rate_change_3m,for_rate_change_12m,us_policy_rate,us_rate_3m,us_yield_10y,us_curve_slope,us_rate_change_3m,us_rate_change_12m,vix_level,us_equity_12m_return,own_return_1m,own_return_3m,own_return_12m,fwd_logret_1m,y
2015-10-31,SEKUSD,SE,2015-10-30,0.11775511645981017,0,-0.25,-0.44,0.66,1.1,-0.01999999999999999,-0.5700000000000001,0.12,0.25,2.07,1.8199999999999998,-0.010000000000000009,0.03,15.07,-1.3987666830049816,-1.1964557476374704,1.1741634600220152,-13.806006363309464,-0.026539947751589743,0
2015-11-30,AUDUSD,AU,2015-11-30,0.7235,0,2.0,2.22,2.889,0.6689999999999996,0.0,-0.5,0.12,0.3,2.26,1.9599999999999997,-0.020000000000000018,0.03,16.13,-4.497859382242552,1.419845678754611,1.8835576036177581,-16.39553541529235,0.007024338502924832,1
2015-11-30,CADUSD,CA,2015-11-30,0.7500750075007501,0,0.499145,0.4525,1.6335,1.181,-0.008165000000000033,-0.50300763157895,0.12,0.3,2.26,1.9599999999999997,-0.020000000000000018,0.03,16.13,-4.497859382242552,-1.892992090647222,-0.8209422870807392,-15.427570014322239,-0.03732353279829986,0
2015-11-30,CHFUSD,CH,2015-11-30,0.9725734292939117,0,-1.1,-0.680833,-0.311,0.369833,0.1499999999999999,-1.0,0.12,0.3,2.26,1.9599999999999997,-0.020000000000000018,0.03,16.13,-4.497859382242552,-4.211148535012692,-6.022959189537852,-6.260820618196281,0.02611114400368579,1
2015-11-30,EURUSD,EZ,2015-11-30,1.0562,0,-0.1347,-0.0876190476190476,1.1537191796848,1.2413382273038476,-0.013399999999999981,-0.12309999999999999,0.12,0.3,2.26,1.9599999999999997,-0.020000000000000018,0.03,16.13,-4.497859382242552,-4.444352957711149,-5.811526618442635,-16.34936483969561,0.027731574950022042,1
2015-11-30,GBPUSD,GB,2015-11-30,1.5044,0,0.4636,0.57371,1.9779,1.4041899999999998,0.004599999999999993,0.031100000000000017,0.12,0.3,2.26,1.9599999999999997,-0.020000000000000018,0.03,16.13,-4.497859382242552,-2.630608576245508,-2.098278054043301,-3.8724609094232365,-0.020007381040631156,0
2015-11-30,JPYUSD,JP,2015-11-30,0.008115565654926148,0,0.08,0.169,0.3,0.13099999999999998,0.0,0.020000000000000004,0.12,0.3,2.26,1.9599999999999997,-0.020000000000000018,0.03,16.13,-4.497859382242552,-2.0663247482938907,-1.6034374942839769,-3.7372073970802333,0.024232160263899516,1
2015-11-30,NOKUSD,NO,2015-11-30,0.11515695893502845,0,0.74,1.15,1.63,0.48,-0.25,-0.75,0.12,0.3,2.26,1.9599999999999997,-0.020000000000000018,0.03,16.13,-4.497859382242552,-2.560190216726088,-4.252056195180165,-21.46637495618897,-0.01943270182584511,0
2015-11-30,NZDUSD,NZ,2015-11-30,0.6574,0,2.65,2.89,3.49,0.6000000000000001,-0.25,-0.77,0.12,0.3,2.26,1.9599999999999997,-0.020000000000000018,0.03,16.13,-4.497859382242552,-2.878759511648904,3.482515505371475,-17.611635912028888,0.03995761131338532,1
2015-11-30,SEKUSD,SE,2015-11-30,0.11467100887553609,0,-0.25,-0.36,0.8,1.1600000000000001,0.0,-0.35,0.12,0.3,2.26,1.9599999999999997,-0.020000000000000018,0.03,16.13,-4.497859382242552,-2.6539947751589743,-2.862638841724907,-15.688358081282594,0.031699132074654024,1
2015-12-31,AUDUSD,AU,2015-12-31,0.7286,0,2.0,2.34,2.852,0.512,0.0,-0.5,0.24,0.54,2.24,1.7000000000000002,0.09999999999999998,0.12,18.21,-5.743767046603498,0.7024338502924832,3.71914805486524,-11.488133994762059,-0.029952785964268425,0
2015-12-31,CADUSD,CA,2015-12-31,0.7225955632632416,0,0.513033333333333,0.484,1.45952380952381,0.9755238095238099,0.012228571428571033,-0.49157619047618706,0.24,0.54,2.24,1.7000000000000002,0.09999999999999998,0.12,18.21,-5.743767046603498,-3.7323532798299865,-3.253453831183506,-17.63993919505235,-0.01683843030056409,0
2015-12-31,CHFUSD,CH,2015-12-31,0.9983028850953379,0,-1.0,-0.740213833333333,-0.039,0.701213833333333,0.0,1.0,0.24,0.54,2.24,1.7000000000000002,0.09999999999999998,0.12,18.21,-5.743767046603498,2.611114400368579,-2.4660168272928464,-0.8320432944468356,-0.02064984702818033,0
2015-12-31,EURUSD,EZ,2015-12-31,1.0859,0,-0.199,-0.126318181818182,1.19178912943303,1.318107311251212,-0.06330000000000002,-0.16890000000000002,0.24,0.54,2.24,1.7000000000000002,0.09999999999999998,0.12,18.21,-5.743767046603498,2.773157495002204,-2.752092313147841,-10.829386458115192,-0.0024895130648443647,0
